Lane Txn ID,Tag/Plate #,Agency,Entry Plaza,Exit Plaza,Class,Date,Exit Time,Amount
"33237138399","NY LZA7293","MTAB&T","","RKB","31","12/31/2025","03:10:36 PM","$-9.11"
"33232151931"," 00414500433","NYSTA","15","19","2L","12/29/2025","05:13:32 PM","$-2.86"
"33229686477"," 00414500433","GSP","","BER","1","12/29/2025","03:08:32 PM","$-2.17"
"33237855141","NY LEH9892","CBDTP","","CRZ","1","12/29/2025","02:14:27 PM","$-9.00"
"33198450021"," 00414500433","PANYNJ","","LNT","2L","12/15/2025","08:44:11 AM","$-17.00"
"33201887532","NJ ABC1234","PANYNJ","","HBT","2L","12/15/2025","06:21:05 PM","$-17.00"
"33175002819"," 00414500433","NYSTA","1","3","2L","12/01/2025","11:02:44 AM","$-1.21"
"33159330041","NY LEH9892","MTAB&T","","RKB","31","11/28/2025","09:15:22 AM","$-9.11"
"33142009887"," 00414500433","GSP","","WDG","1","11/20/2025","04:55:03 PM","$-1.50"
""," ","","","PAYMENT","","12/29/2025","","$25.00"
""," ","","","PAYMENT","","11/30/2025","","$50.00"
